'sample interval','Fx','Fy','Fz','Mx','My','Mz','COPx','COPy'
349,2.357,-0.086,-0.312,1.21,-0.384,0.101,0.071,0.226
350,2.361,-0.106,-0.165,1.206,-0.366,0.102,0.07,0.225
351,2.372,-0.136,-0.154,1.205,-0.353,0.104,0.067,0.225
352,2.387,-0.168,-0.266,1.205,-0.346,0.106,0.065,0.225
353,2.402,-0.193,-0.455,1.204,-0.346,0.107,0.062,0.225
354,2.412,-0.201,-0.655,1.2,-0.35,0.108,0.059,0.225
355,2.414,-0.191,-0.81,1.191,-0.355,0.108,0.058,0.224
356,2.406,-0.168,-0.886,1.181,-0.357,0.108,0.057,0.222
357,2.393,-0.14,-0.878,1.17,-0.353,0.106,0.056,0.22
358,2.38,-0.121,-0.804,1.162,-0.343,0.104,0.056,0.218
359,2.371,-0.116,-0.695,1.159,-0.326,0.102,0.054,0.217
360,2.37,-0.129,-0.579,1.163,-0.305,0.102,0.052,0.218
361,2.377,-0.156,-0.476,1.173,-0.284,0.104,0.05,0.22
362,2.386,-0.19,-0.396,1.188,-0.264,0.108,0.047,0.222
363,2.394,-0.223,-0.343,1.203,-0.248,0.115,0.045,0.225
364,2.393,-0.249,-0.324,1.215,-0.237,0.123,0.043,0.227
365,2.382,-0.265,-0.344,1.219,-0.23,0.131,0.042,0.228
366,2.361,-0.27,-0.406,1.214,-0.227,0.139,0.04,0.227
367,2.334,-0.265,-0.498,1.202,-0.226,0.146,0.039,0.225
368,2.308,-0.253,-0.597,1.186,-0.226,0.15,0.037,0.222
369,2.288,-0.241,-0.67,1.171,-0.227,0.152,0.036,0.22
370,2.282,-0.23,-0.687,1.161,-0.228,0.152,0.036,0.218
371,2.291,-0.223,-0.638,1.158,-0.228,0.15,0.037,0.217
372,2.312,-0.22,-0.535,1.161,-0.228,0.149,0.038,0.218
373,2.341,-0.217,-0.419,1.167,-0.228,0.149,0.04,0.219
374,2.367,-0.212,-0.333,1.173,-0.228,0.15,0.042,0.219
375,2.383,-0.201,-0.317,1.175,-0.228,0.153,0.042,0.22
376,2.382,-0.181,-0.381,1.173,-0.227,0.158,0.041,0.219
377,2.363,-0.154,-0.509,1.17,-0.225,0.163,0.038,0.219
